time,interval,temperature_2m,apparent_temperature,relative_humidity_2m,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,showers,snowfall,weather_code,cloud_cover,pressure_msl,surface_pressure,city
2025-06-27T03:00,900,31.0,28.0,11,3.2,333,6.8,0.0,0.0,0.0,0.0,0,0,1002.6,934.1,Riyadh
2025-06-26T19:00,900,25.6,31.0,88,2.9,97,9.7,0.0,0.0,0.0,0.0,3,100,1014.6,1012.3,Houston
2025-06-27T02:00,900,17.4,15.9,77,17.6,225,33.8,0.0,0.0,0.0,0.0,3,100,1019.0,1015.9,Brussels
2025-06-27T02:00,900,23.5,22.3,35,3.7,349,7.6,0.0,0.0,0.0,0.0,0,0,1021.3,946.4,Madrid
2025-06-27T01:00,900,33.8,27.2,9,27.1,73,40.3,0.0,0.0,0.0,0.0,0,3,1013.8,954.0,Algerie
2025-06-27T03:00,900,32.2,29.6,16,6.9,279,16.9,0.0,0.0,0.0,0.0,0,0,997.8,993.8,Baghdad
2025-06-27T04:00,900,31.7,39.0,73,1.9,292,2.9,0.0,0.0,0.0,0.0,3,100,995.3,994.6,Dubai
2025-06-27T02:00,900,21.0,21.2,75,14.1,273,41.8,0.0,0.0,0.0,0.0,3,100,1018.4,997.5,Vienna
2025-06-26T20:00,900,17.1,17.1,73,4.9,73,11.5,0.0,0.0,0.0,0.0,0,15,1020.4,1019.3,Boston
2025-06-27T02:00,900,22.5,24.0,76,9.1,277,18.4,0.0,0.0,0.0,0.0,3,100,1021.4,1017.2,Paris
2025-06-26T20:00,900,24.1,24.1,64,16.1,42,25.2,0.0,0.0,0.0,0.0,3,100,1018.1,1014.4,Philadelphia
2025-06-26T21:00,900,23.0,25.3,68,1.0,135,2.5,0.0,0.0,0.0,0.0,0,0,1017.3,1016.8,Rio de Janeiro
2025-06-27T02:00,900,23.4,28.1,91,0.5,135,2.5,0.0,0.0,0.0,0.0,0,1,1017.1,1010.3,Rome
2025-06-27T08:00,900,25.0,26.9,64,5.9,76,15.8,0.0,0.0,0.0,0.0,3,88,1006.3,1000.9,Beijing
2025-06-27T02:00,900,17.2,17.2,84,10.4,237,19.8,0.0,0.0,0.0,0.0,3,100,1016.7,1016.1,Amsterdam
2025-06-27T02:00,900,17.0,15.2,72,16.2,165,32.4,0.0,0.0,0.0,0.0,3,100,1006.0,1003.2,Stockholm
2025-06-26T20:00,900,23.4,26.6,84,6.7,16,11.2,0.0,0.0,0.0,0.0,2,62,1016.2,978.8,Atlanta
2025-06-28T01:00,900,23.3,28.1,93,1.3,34,5.8,0.0,0.0,0.0,0.0,2,57,1022.0,1018.0,Algiers
2025-06-28T03:00,900,15.6,16.3,90,4.3,66,12.6,0.0,0.0,0.0,0.0,3,84,1017.4,838.2,Nairobi
2025-06-28T03:00,900,10.9,10.1,83,2.5,262,4.0,0.0,0.0,0.0,0.0,3,80,1008.3,991.5,Moscow
2025-06-28T08:00,900,29.1,34.7,78,7.1,156,19.4,0.0,0.0,0.0,0.0,1,30,1007.6,1007.0,Shanghai
2025-06-28T10:00,900,10.3,9.0,72,1.1,252,4.7,0.0,0.0,0.0,0.0,2,61,1030.4,1019.8,Sydney
2025-06-28T03:00,900,20.0,18.6,44,5.1,45,12.2,0.0,0.0,0.0,0.0,0,0,1012.0,914.0,Ankara
2025-06-28T09:00,900,22.8,27.8,97,0.8,27,18.4,1.0,1.0,0.0,0.0,63,90,1008.4,1004.5,Seoul
2025-06-28T08:00,900,27.5,32.9,83,6.3,114,12.6,0.0,0.0,0.0,0.0,3,99,1007.7,1005.3,Hong Kong
2025-06-28T07:00,900,26.4,31.8,83,1.8,180,4.7,0.0,0.0,0.0,0.0,3,95,1007.6,1007.1,Bangkok
2025-06-27T20:00,900,19.3,17.3,52,12.8,100,23.0,0.0,0.0,0.0,0.0,0,6,1022.6,1018.8,New York
2025-06-27T18:00,900,17.8,17.0,75,12.2,19,31.3,0.8,0.0,0.8,0.0,95,100,1016.6,787.3,Mexico City
2025-06-28T04:30,900,16.4,17.2,90,5.4,37,18.0,0.0,0.0,0.0,0.0,2,78,1007.4,818.8,Kabul
2025-06-28T09:00,900,27.9,31.7,61,4.0,350,25.6,0.0,0.0,0.0,0.0,1,25,1007.0,1002.4,Tokyo
